Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Sentiment,Satisfaction_Level
55,410,7,2,5,2,6,6,3,10,Neutral,High
56,480,10,6,7,8,5,3,1,5,Neutral,High
57,84,7,4,6,10,7,7,8,9,Neutral,High
58,89,9,9,4,5,1,2,3,9,Neutral,High
59,763,6,9,6,7,6,10,2,5,Neutral,High
60,86,7,8,6,8,3,10,2,7,Neutral,High
61,867,6,4,6,4,2,7,5,3,Neutral,High
62,248,6,6,4,6,6,6,2,3,Neutral,High
63,751,7,3,8,10,2,7,2,6,Neutral,High
64,522,6,9,8,10,9,5,3,6,Neutral,High
65,696,5,5,4,9,3,1,8,6,Neutral,High
66,274,8,2,4,7,10,8,5,8,Neutral,High
67,921,9,7,5,10,10,9,6,4,Neutral,High
68,957,6,2,7,8,5,9,5,4,Neutral,High
69,88,9,4,4,9,9,9,7,10,Neutral,High
70,149,5,6,5,1,8,9,7,8,Neutral,High
71,737,7,9,4,5,5,2,2,1,Neutral,High
72,891,7,2,4,9,6,9,7,9,Neutral,High
73,1,9,6,8,7,6,5,3,10,Neutral,High
74,868,7,9,7,2,6,2,9,4,Neutral,High
75,895,5,5,7,7,2,1,8,9,Neutral,High
76,638,9,10,8,2,1,1,4,8,Neutral,High
77,707,5,6,6,5,1,9,6,9,Neutral,High
78,432,9,9,6,8,2,3,2,4,Neutral,High
79,988,7,4,6,7,6,9,7,1,Neutral,High
80,742,7,7,8,2,1,1,8,1,Neutral,High
81,730,6,5,4,5,6,6,7,2,Neutral,High
82,321,5,7,6,2,3,5,3,5,Neutral,High
83,904,8,5,8,9,7,9,8,6,Neutral,High
84,171,6,10,4,6,1,6,2,3,Neutral,High
85,695,10,4,4,1,5,8,7,1,Neutral,High
86,498,8,5,4,5,10,7,1,10,Neutral,High
87,446,7,8,5,10,10,2,5,9,Neutral,High
88,982,9,10,7,5,6,6,1,5,Neutral,High
89,981,7,6,7,5,4,6,8,3,Neutral,High
90,849,6,10,6,7,7,4,10,7,Neutral,High
91,297,7,10,6,8,10,10,2,8,Neutral,High
92,713,8,6,7,5,2,7,10,8,Neutral,High
93,192,8,4,8,6,3,5,1,5,Neutral,High
94,561,9,6,4,8,6,8,3,3,Neutral,High
95,364,6,6,7,9,6,4,7,6,Neutral,High
96,40,6,7,5,6,10,5,6,3,Neutral,High
97,521,5,9,4,2,1,8,3,7,Neutral,High
98,201,8,2,8,9,8,8,9,4,Neutral,High
99,780,6,4,4,10,6,5,6,8,Neutral,High
100,853,7,9,4,8,9,4,10,2,Neutral,High
101,202,5,6,6,10,3,4,2,8,Neutral,High
102,421,6,3,8,10,6,8,7,9,Neutral,High
103,671,9,8,6,10,10,7,7,8,Neutral,High
104,334,5,9,4,3,8,10,4,2,Neutral,High
105,843,6,8,5,4,5,5,10,6,Neutral,High
106,57,10,7,6,10,4,4,2,4,Neutral,High
107,353,6,7,5,3,6,6,7,5,Neutral,High
108,681,7,2,7,5,2,1,3,7,Neutral,High
109,394,6,3,6,10,7,4,3,3,Neutral,High
110,188,7,6,8,9,9,8,9,10,Neutral,High
111,641,5,10,6,7,4,2,5,4,Neutral,High
112,544,10,7,8,4,6,5,7,8,Neutral,High
113,163,9,3,4,7,3,8,6,8,Neutral,High
114,283,9,2,6,1,2,10,5,5,Neutral,High
115,820,6,5,4,9,2,5,10,7,Neutral,High
116,254,6,6,6,8,9,4,4,8,Neutral,High
117,221,9,6,8,1,8,2,5,6,Neutral,High
118,736,8,2,8,8,2,6,5,4,Neutral,High
119,280,9,10,4,7,7,3,5,4,Neutral,High
120,976,5,2,5,5,7,9,4,3,Neutral,High
121,481,9,10,8,9,1,3,1,9,Neutral,High
122,80,7,6,4,1,5,6,1,8,Neutral,High
123,473,10,10,7,5,2,6,10,5,Neutral,High
124,762,10,7,5,7,8,9,3,4,Neutral,High
125,385,5,2,6,7,3,2,10,1,Neutral,High
126,195,9,7,5,5,10,10,5,1,Neutral,High
127,144,8,6,5,6,3,8,2,6,Neutral,High
128,767,10,10,8,3,9,6,4,8,Neutral,High
129,300,6,8,4,5,5,9,5,4,Neutral,High
130,580,5,2,5,8,6,5,4,9,Neutral,High
131,216,5,9,8,2,4,8,9,10,Neutral,High
132,583,9,3,4,6,5,3,8,7,Neutral,High
133,881,7,9,5,9,4,5,4,8,Neutral,High
134,488,8,8,6,9,7,4,6,1,Neutral,High
135,892,5,8,8,9,6,9,10,6,Neutral,High
136,152,7,2,5,1,5,10,5,6,Neutral,High
137,925,7,10,6,7,9,10,1,3,Neutral,High
138,729,9,9,8,7,5,4,5,5,Neutral,High
139,647,5,5,8,8,9,6,9,8,Neutral,High
140,686,8,6,5,5,2,6,5,8,Neutral,High
141,93,9,10,6,4,9,6,7,8,Neutral,High
142,485,8,4,7,1,4,7,1,4,Neutral,High
143,59,5,8,5,6,10,3,4,10,Neutral,High
144,907,10,4,7,6,1,2,5,1,Neutral,High
145,158,10,6,5,6,2,10,3,8,Neutral,High
146,955,10,4,4,1,10,1,10,10,Neutral,High
147,758,8,3,7,7,9,6,7,5,Neutral,High
148,605,6,4,4,4,7,5,5,2,Neutral,High
149,475,10,6,4,9,3,1,6,7,Neutral,High
150,154,9,7,4,8,2,6,3,9,Neutral,High
151,79,6,4,6,6,6,4,9,10,Neutral,High
152,36,10,6,5,2,1,9,9,6,Neutral,High
153,562,6,3,6,7,8,7,4,1,Neutral,High
154,231,10,7,8,1,3,3,3,3,Neutral,High
155,869,8,7,6,2,9,4,1,7,Neutral,High
156,608,7,4,6,5,4,7,8,7,Neutral,High
157,846,10,7,7,4,7,10,7,1,Neutral,High
158,542,10,4,7,7,2,2,5,9,Neutral,High
159,941,9,3,7,2,9,7,3,1,Neutral,High
160,919,10,2,8,5,6,3,8,5,Neutral,High
161,352,6,2,6,3,5,3,8,6,Neutral,High
162,839,9,2,5,10,4,4,9,1,Neutral,High
163,266,8,8,5,6,6,8,2,2,Neutral,High
164,298,8,4,8,9,7,1,7,3,Neutral,High
165,929,10,2,6,1,1,9,9,7,Neutral,High
166,574,6,4,8,5,9,5,7,10,Neutral,High
167,250,5,7,7,3,1,6,3,1,Neutral,High
168,616,9,8,6,9,6,3,5,8,Neutral,High
169,164,8,5,7,10,8,9,10,1,Neutral,High
170,827,6,3,4,9,7,8,7,6,Neutral,High
171,228,7,6,6,1,6,6,6,9,Neutral,High
172,787,10,10,5,10,1,9,3,8,Neutral,High
173,317,8,8,4,1,10,10,9,1,Neutral,High
174,110,9,6,4,1,4,7,9,5,Neutral,High
175,165,6,2,6,2,2,10,2,2,Neutral,High
176,701,5,9,7,1,9,9,1,9,Neutral,High
177,362,7,9,6,7,4,8,1,2,Neutral,High
178,890,8,7,5,3,9,1,4,5,Neutral,High
179,728,10,9,4,8,5,2,3,10,Neutral,High
180,466,9,8,5,5,6,2,10,4,Neutral,High
181,709,9,3,6,4,4,8,10,1,Neutral,High
182,482,10,3,4,3,10,1,8,5,Neutral,High
183,406,9,10,6,1,6,1,9,2,Neutral,High
184,66,8,5,8,7,6,1,9,9,Neutral,High
185,862,6,5,6,5,7,2,10,8,Neutral,High
186,61,9,8,6,5,3,10,6,6,Neutral,High
187,111,7,9,7,1,10,10,3,10,Neutral,High
188,147,6,8,4,6,9,6,8,7,Neutral,High
189,211,7,4,4,3,7,8,7,10,Neutral,High
190,996,6,5,6,10,8,7,8,4,Neutral,High
191,459,8,5,8,6,6,1,8,4,Neutral,High
192,81,5,5,6,5,7,3,9,5,Neutral,High
193,288,5,9,6,9,4,4,2,6,Neutral,High
194,6,7,10,8,3,3,4,1,2,Neutral,High
195,547,6,6,8,5,1,2,2,8,Neutral,High
196,30,6,2,7,5,1,10,9,10,Neutral,High
197,445,9,4,4,2,4,8,1,6,Neutral,High
198,591,6,9,8,5,10,6,2,10,Neutral,High
199,770,10,10,5,7,10,7,7,10,Neutral,High
200,484,9,6,8,10,3,2,8,4,Neutral,High
201,180,8,4,4,1,6,9,6,1,Neutral,High
202,946,5,5,5,6,1,3,10,5,Neutral,High
203,901,9,8,6,1,2,9,8,2,Neutral,High
204,517,10,5,7,7,5,10,6,5,Neutral,High
205,545,9,4,8,1,8,6,2,4,Neutral,High
206,918,8,3,8,9,9,1,6,1,Neutral,High
207,652,8,3,4,8,3,2,2,3,Neutral,High
208,471,10,10,4,8,2,2,4,7,Neutral,High
209,323,6,8,7,5,4,1,9,3,Neutral,High
210,276,8,5,7,9,1,10,1,2,Neutral,High
211,672,7,8,5,6,5,10,5,10,Neutral,High
212,337,10,7,6,8,9,5,1,1,Neutral,High
213,468,7,7,8,4,2,1,5,10,Neutral,High
214,380,8,8,4,8,2,4,9,2,Neutral,High
215,755,9,8,7,2,9,6,3,7,Neutral,High
216,267,8,9,4,4,8,4,8,1,Neutral,High
217,598,9,3,4,9,3,4,5,1,Neutral,High
218,128,6,2,6,1,9,3,9,2,Neutral,High
219,444,8,2,6,10,7,2,4,8,Neutral,High
220,572,6,5,4,4,8,6,8,9,Neutral,High
221,319,8,3,6,6,7,10,8,4,Neutral,High
222,390,8,6,7,5,1,4,3,9,Neutral,High
223,176,10,2,6,7,4,10,1,3,Neutral,High
224,883,7,4,4,2,8,6,7,4,Neutral,High
225,831,5,2,8,3,5,10,7,7,Neutral,High
226,220,10,5,8,7,9,7,2,7,Neutral,High
227,17,7,6,5,3,9,5,5,2,Neutral,High
228,938,10,10,6,5,2,9,9,9,Neutral,High
229,651,8,7,6,3,9,10,6,1,Neutral,High
230,953,5,10,8,10,6,4,6,4,Neutral,High
231,902,5,8,6,10,4,5,5,9,Neutral,High
232,167,7,7,5,8,6,9,9,8,Neutral,High
233,669,9,3,4,5,2,2,1,6,Neutral,High
234,859,8,3,5,9,10,3,1,6,Neutral,High
235,120,8,4,7,5,4,4,10,6,Neutral,High
236,293,10,4,7,1,6,7,7,4,Neutral,High
237,789,10,2,8,7,9,8,1,4,Neutral,High
238,182,5,2,7,2,3,6,1,9,Neutral,High
239,369,10,5,4,4,3,7,4,10,Neutral,High
240,207,6,8,6,7,9,7,2,5,Neutral,High
241,842,10,7,5,3,3,6,4,6,Neutral,High
242,38,5,8,7,6,10,8,9,5,Neutral,High
243,495,5,4,7,9,6,10,5,9,Neutral,High
244,942,10,6,8,3,7,8,4,5,Neutral,High
245,752,10,7,4,4,4,9,10,7,Neutral,High
246,940,7,3,6,9,10,8,3,5,Neutral,High
247,648,5,7,7,9,6,3,10,3,Neutral,High
248,125,6,2,4,5,9,7,7,7,Neutral,High
249,516,10,2,8,9,2,3,3,1,Neutral,High
250,963,9,6,4,5,3,3,6,6,Neutral,High
251,215,5,6,6,2,1,9,5,8,Neutral,High
252,823,7,5,8,3,4,3,1,10,Neutral,High
253,840,5,7,5,6,9,9,10,6,Neutral,High
254,429,8,3,5,1,8,1,8,9,Neutral,High
255,109,6,3,5,6,1,6,6,10,Neutral,High
256,795,6,9,8,4,2,6,10,6,Neutral,High
257,760,9,4,4,3,8,5,10,1,Neutral,High
258,536,10,10,4,7,8,7,6,2,Neutral,High
259,888,6,6,5,2,3,6,6,3,Neutral,High
260,719,10,10,8,7,6,10,6,4,Neutral,High
261,654,6,4,4,9,5,8,8,2,Neutral,High
262,947,7,3,8,1,5,9,7,2,Neutral,High
263,403,5,7,6,6,5,6,4,6,Neutral,High
264,124,9,9,7,9,1,9,4,3,Neutral,High
265,548,9,8,6,7,1,2,7,6,Neutral,High
266,880,7,3,6,3,5,3,3,10,Neutral,High
267,939,10,10,7,4,1,2,3,9,Neutral,High
268,166,6,10,4,4,4,8,4,6,Neutral,High
269,885,5,6,7,7,2,2,5,7,Neutral,High
270,112,7,9,6,9,1,7,1,2,Neutral,High
271,811,8,8,8,6,1,4,9,1,Neutral,High
272,213,10,8,4,10,1,5,6,2,Neutral,High
273,375,10,4,4,1,3,4,7,9,Neutral,High
274,897,6,7,4,1,9,8,8,7,Neutral,High
275,460,7,8,5,6,7,7,6,7,Neutral,High
276,416,6,2,5,8,9,6,3,7,Neutral,High
277,571,8,9,7,3,1,8,9,7,Neutral,High
278,744,8,5,7,3,10,4,6,7,Neutral,High
279,378,9,8,7,2,4,7,2,6,Neutral,High
280,121,5,9,5,2,4,5,6,6,Neutral,High
281,462,10,4,8,5,4,6,4,7,Neutral,High
282,777,8,6,4,6,4,7,10,1,Neutral,High
283,845,5,10,6,8,4,4,4,5,Neutral,High
284,533,6,10,5,7,2,5,10,10,Neutral,High
285,450,5,2,6,2,4,5,1,4,Neutral,High
286,717,6,2,4,6,6,2,6,9,Neutral,High
287,469,10,8,6,1,3,5,8,10,Neutral,High
288,670,7,7,8,1,6,1,2,1,Neutral,High
289,137,8,2,5,2,4,9,7,8,Neutral,High
290,801,10,7,4,3,6,1,10,4,Neutral,High
291,315,5,10,5,10,8,4,8,4,Neutral,High
292,153,7,7,5,3,8,9,8,9,Neutral,High
293,190,8,6,7,5,6,4,3,8,Neutral,High
294,22,7,9,4,1,2,8,10,4,Neutral,High
295,949,9,8,7,1,7,6,9,4,Neutral,High
296,523,10,2,6,9,7,5,10,9,Neutral,High
297,527,5,6,5,2,8,6,9,8,Neutral,High
298,461,7,10,7,6,6,8,4,9,Neutral,High
299,244,5,8,4,9,3,10,1,3,Neutral,High
300,363,9,3,8,10,2,7,5,1,Neutral,High
301,610,8,10,6,8,2,1,5,1,Neutral,High
302,381,9,2,8,8,1,9,1,2,Neutral,High
303,954,8,8,6,3,9,5,7,2,Neutral,High
304,604,10,9,8,9,4,8,7,9,Neutral,High
305,414,10,6,4,8,2,9,9,3,Neutral,High
306,151,8,7,5,10,8,3,8,6,Neutral,High
307,721,6,9,4,1,4,10,10,9,Neutral,High
308,664,10,8,7,4,8,2,1,10,Neutral,High
309,956,7,2,6,5,2,3,8,7,Neutral,High
310,747,5,3,5,6,5,10,3,6,Neutral,High
311,438,9,6,5,9,2,3,9,3,Neutral,High
312,975,5,10,4,8,7,6,8,3,Neutral,High
313,277,5,6,8,7,2,7,1,10,Neutral,High
314,312,7,2,7,6,6,3,7,2,Neutral,High
315,565,10,9,7,10,4,8,5,4,Neutral,High
316,739,8,7,5,10,1,1,8,1,Neutral,High
317,584,8,8,5,8,6,6,9,4,Neutral,High
318,894,6,3,5,4,7,1,5,5,Neutral,High
319,270,9,10,5,9,6,4,7,7,Neutral,High
320,966,7,4,5,3,1,8,10,2,Neutral,High
321,489,7,2,5,8,1,1,8,8,Neutral,High
322,665,6,3,4,2,8,5,8,5,Neutral,High
323,71,9,10,8,4,9,3,8,2,Neutral,High
324,603,7,2,7,1,7,7,1,7,Neutral,High
325,196,8,10,8,10,6,7,7,7,Neutral,High
326,804,9,3,7,6,10,7,9,7,Neutral,High
327,837,5,10,4,1,4,8,9,1,Neutral,High
328,530,6,5,4,9,1,2,3,6,Neutral,High
329,720,6,6,6,9,10,4,6,7,Neutral,High
330,272,5,4,6,4,4,7,7,9,Neutral,High
331,984,5,10,6,4,2,10,4,6,Neutral,High
332,185,10,3,8,4,1,10,7,9,Neutral,High
333,487,6,6,4,2,10,10,1,9,Neutral,High
334,75,8,9,8,6,2,7,9,10,Neutral,High
335,718,6,3,6,7,6,6,2,6,Neutral,High
336,496,10,7,4,6,10,5,3,6,Neutral,High
337,630,5,5,4,8,3,6,6,8,Neutral,High
338,637,8,10,5,6,10,8,2,2,Neutral,High
339,360,9,9,8,2,3,1,8,6,Neutral,High
340,183,6,7,5,5,4,7,1,9,Neutral,High
341,689,10,8,7,8,1,9,5,10,Neutral,High
342,236,6,9,6,4,1,2,8,4,Neutral,High
343,768,6,6,6,3,5,9,8,3,Neutral,High
344,316,7,2,7,8,6,4,2,9,Neutral,High
345,396,6,10,4,6,1,2,4,10,Neutral,High
346,212,6,4,4,6,5,10,10,2,Neutral,High
347,830,9,7,7,10,7,8,6,4,Neutral,High
348,209,9,8,5,3,3,10,7,2,Neutral,High
349,62,7,4,4,5,3,10,2,1,Neutral,High
350,447,8,7,7,1,4,7,10,9,Neutral,High
351,100,6,6,6,10,7,5,7,8,Neutral,High
352,305,10,8,8,4,6,3,10,4,Neutral,High
353,494,10,6,6,6,4,10,2,9,Neutral,High
354,328,10,6,5,4,6,10,8,2,Neutral,High
355,854,8,2,8,4,6,2,4,7,Neutral,High
356,866,5,10,4,8,3,7,4,5,Neutral,High
357,943,8,9,7,10,6,7,7,6,Neutral,High
358,734,9,8,5,3,10,1,8,3,Neutral,High
359,189,9,3,6,2,3,8,10,7,Neutral,High
360,404,10,5,7,8,1,5,10,4,Neutral,High
361,518,7,4,8,5,7,9,2,6,Neutral,High
362,856,6,9,4,6,8,8,3,8,Neutral,High
363,70,9,2,5,8,10,9,7,6,Neutral,High
364,457,7,4,8,2,3,6,8,4,Neutral,High
365,148,5,4,4,4,8,10,5,5,Neutral,High
366,958,10,10,5,8,5,10,7,8,Neutral,High
367,356,7,3,7,6,4,2,1,10,Neutral,High
368,793,10,9,6,4,7,6,8,3,Neutral,High
369,771,8,7,6,4,8,7,3,2,Neutral,High
370,452,5,6,7,9,7,8,6,1,Neutral,High
371,72,8,7,7,3,4,1,4,7,Neutral,High
372,710,7,2,6,5,7,7,6,10,Neutral,High
373,980,6,3,7,1,5,4,9,4,Neutral,High
374,145,6,8,4,6,1,3,2,7,Neutral,High
375,960,6,9,6,1,3,3,5,8,Neutral,High
376,660,5,7,7,3,10,3,3,4,Neutral,High
377,987,9,10,7,8,7,3,8,7,Neutral,High
378,534,9,5,7,5,2,6,10,8,Neutral,High
379,858,9,5,5,3,2,2,7,7,Neutral,High
380,324,10,5,5,2,2,5,7,6,Neutral,High
381,884,7,4,7,10,5,1,7,4,Neutral,High
382,611,8,9,5,3,9,5,8,3,Neutral,High
383,136,8,6,7,10,9,9,2,3,Neutral,High
384,705,9,3,6,3,3,5,1,2,Neutral,High
385,991,7,4,5,8,9,8,5,1,Neutral,High
386,676,9,8,5,7,4,10,2,6,Neutral,High
387,769,9,8,8,8,1,1,8,5,Neutral,High
388,246,7,10,8,8,4,10,3,8,Neutral,High
389,644,9,6,8,2,7,6,4,6,Neutral,High
390,263,7,9,4,7,9,8,10,7,Neutral,High
391,476,9,4,6,4,8,6,4,10,Neutral,High
392,697,7,7,6,1,8,10,5,2,Neutral,High
393,95,7,2,5,5,9,6,8,3,Neutral,High
394,688,8,6,7,5,6,1,4,10,Neutral,High
395,633,8,2,4,7,4,6,7,4,Neutral,High
396,241,8,3,8,8,10,1,8,6,Neutral,High
397,524,9,8,4,6,10,1,9,10,Neutral,High
398,504,9,4,5,6,6,1,7,10,Neutral,High
399,417,9,6,7,9,5,1,7,2,Neutral,High
400,554,6,6,8,2,4,6,4,10,Neutral,High
401,656,6,2,7,2,5,6,9,9,Neutral,High
402,19,10,4,6,3,9,10,9,3,Neutral,High
403,275,8,5,4,9,5,5,8,10,Neutral,High
404,478,5,10,7,6,8,7,3,9,Neutral,High
405,132,6,9,5,8,10,3,2,10,Neutral,High
406,515,8,3,5,10,3,4,9,4,Neutral,High
407,44,8,9,5,3,6,9,4,9,Neutral,High
408,388,6,10,4,5,6,4,4,9,Neutral,High
409,204,8,7,6,3,3,10,3,6,Neutral,High
410,338,5,2,4,6,9,10,9,4,Neutral,High
411,619,8,7,6,4,3,9,3,8,Neutral,High
412,205,8,4,4,2,1,7,9,7,Neutral,High
413,39,7,3,7,10,6,4,8,2,Neutral,High
414,53,5,8,5,1,10,8,5,7,Neutral,High
415,58,9,3,7,1,2,3,10,7,Neutral,High
416,157,9,6,8,2,8,4,4,3,Neutral,High
417,28,8,6,6,9,9,9,4,7,Neutral,High
418,833,8,6,7,7,7,9,10,9,Neutral,High
419,252,8,9,4,6,10,2,7,5,Neutral,High
420,658,8,5,6,7,10,4,6,4,Neutral,High
421,179,6,3,7,6,2,6,5,2,Neutral,High
422,851,9,6,4,10,2,1,3,10,Neutral,High
423,809,7,8,7,5,10,2,8,8,Neutral,High
424,330,7,7,5,7,9,10,2,2,Neutral,High
425,94,10,10,4,7,8,2,4,4,Neutral,High
426,826,10,5,7,2,8,7,10,5,Neutral,High
427,227,9,3,6,4,7,4,4,7,Neutral,High
428,1000,9,8,5,4,10,7,7,10,Neutral,High
429,114,10,9,7,1,8,4,4,2,Neutral,High
430,251,5,9,6,9,6,4,5,2,Neutral,High
431,613,5,6,6,3,9,4,2,9,Neutral,High
432,101,10,5,6,6,9,8,10,3,Neutral,High
433,871,7,8,7,10,10,7,2,2,Neutral,High
434,551,6,3,5,7,3,1,9,10,Neutral,High
435,931,6,5,7,3,6,5,6,10,Neutral,High
436,49,8,7,8,8,1,1,8,3,Neutral,High
437,512,5,10,7,9,9,9,6,9,Neutral,High
438,261,9,9,7,7,4,10,5,9,Neutral,High
439,754,6,9,4,4,3,10,2,10,Neutral,High
440,345,8,2,8,9,10,10,9,5,Neutral,High
441,970,10,9,5,7,6,7,4,7,Neutral,High
442,990,6,9,6,4,9,5,10,8,Neutral,High
443,911,6,4,4,10,9,4,7,2,Neutral,High
444,909,9,8,5,9,5,6,9,7,Neutral,High
445,817,6,5,7,10,10,4,6,6,Neutral,High
446,733,10,10,5,1,4,1,3,4,Neutral,High
447,626,7,9,5,4,9,4,3,1,Neutral,High
448,292,7,9,8,1,5,4,7,4,Neutral,High
449,82,5,10,8,4,4,10,5,5,Neutral,High
450,355,10,8,5,6,5,10,1,8,Neutral,High
451,948,9,5,4,7,9,3,5,7,Neutral,High
452,341,9,4,4,4,7,5,5,8,Neutral,High
453,952,7,9,5,7,8,8,10,5,Neutral,High
454,711,7,3,4,6,3,7,6,4,Neutral,High
455,635,7,3,8,6,7,4,10,5,Neutral,High
456,850,5,8,7,4,8,7,8,6,Neutral,High
457,716,6,3,7,9,2,3,3,6,Neutral,High
458,627,10,2,4,1,6,5,9,5,Neutral,High
459,661,6,10,4,3,8,2,7,6,Neutral,High
460,877,8,9,4,5,10,10,10,2,Neutral,High
461,177,8,2,6,2,8,1,9,9,Neutral,High
462,322,8,10,7,3,3,3,1,5,Neutral,High
463,914,9,2,4,2,4,2,2,9,Neutral,High
464,486,10,9,5,1,4,10,6,9,Neutral,High
465,723,6,10,5,3,10,3,6,4,Neutral,High
466,105,9,10,5,1,3,1,1,2,Neutral,High
467,52,6,10,4,1,7,3,10,2,Neutral,High
468,436,9,9,4,10,1,10,10,2,Neutral,High
469,829,6,9,5,3,2,2,10,9,Neutral,High
470,753,5,10,8,7,5,10,9,7,Neutral,High
471,130,7,9,5,9,3,2,5,4,Neutral,High
472,91,6,5,4,2,5,8,3,3,Neutral,High
473,590,10,3,4,4,9,9,6,2,Neutral,High
474,965,10,3,4,5,10,3,7,3,Neutral,High
475,99,8,9,6,2,2,3,10,6,Neutral,High
476,912,7,10,7,10,2,7,5,7,Neutral,High
477,395,9,6,8,2,7,9,8,10,Neutral,High
478,923,6,3,5,6,9,4,10,3,Neutral,High
479,499,7,9,8,3,5,1,5,2,Neutral,High
480,115,5,5,7,1,3,8,1,10,Neutral,High
481,815,5,9,6,6,2,9,5,3,Neutral,High
482,570,10,10,6,8,9,2,8,10,Neutral,High
483,825,9,7,8,1,3,2,9,3,Neutral,High
484,620,9,5,8,2,8,10,8,8,Neutral,High
485,175,10,9,8,2,1,6,7,2,Neutral,High
486,358,5,7,4,3,3,10,3,4,Neutral,High
487,191,7,4,5,2,5,10,4,7,Neutral,High
488,492,6,5,8,10,3,8,3,2,Neutral,High
489,529,9,6,6,1,4,10,1,7,Neutral,High
490,389,5,5,8,6,2,3,5,7,Neutral,High
491,878,6,5,8,4,10,3,9,10,Neutral,High
492,368,7,9,8,3,2,7,4,1,Neutral,High
493,122,7,5,5,3,9,6,9,2,Neutral,High
494,332,9,2,7,2,8,7,4,10,Neutral,High
495,303,7,4,5,4,7,2,1,6,Neutral,High
496,336,8,10,4,5,6,7,2,3,Neutral,High
497,588,6,6,4,10,10,10,3,9,Neutral,High
498,609,10,9,4,4,1,5,9,10,Neutral,High
499,920,10,6,7,10,10,2,4,2,Neutral,High
500,370,9,4,7,10,1,10,2,7,Neutral,High
501,405,10,2,5,5,5,1,4,6,Neutral,High
502,779,10,8,6,3,8,8,7,8,Neutral,High
503,962,10,6,4,5,1,7,1,10,Neutral,High
504,268,10,6,5,9,9,1,8,6,Neutral,High
505,625,10,7,6,7,9,6,3,3,Neutral,High
506,217,8,9,8,3,8,5,5,5,Neutral,High
507,479,10,10,4,6,5,9,2,3,Neutral,High
508,500,9,5,8,4,2,2,5,1,Neutral,High
